overdriveNo,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status,overdriveControlNo,sierraFormat_ext,_merge
CAE3FE9D-902A-471A-B2DA-9E0FC265A48A,037,b116030847,ocn700941778,OCoLC,x,-,,,left_only
26ADC903-8061-4EFE-A2DE-CED2745D6AA0,037,b116081430,ocn711002085,OCoLC,x,-,,,left_only
846E9F3F-4A74-44D7-ABEA-0A0C9E61119D,037,b116085447,ocn710835135,OCoLC,x,-,,,left_only
A3AD346B-6266-467C-80C7-CAC5DBD372BC,url,b116092853,ocn123770563,OCoLC,z,-,,,left_only
DBFCAF8C-B346-4EB8-AC4C-DF96F6CE9F6D,url,b116094928,ocn554888213,OCoLC,z,-,,,left_only
9721CC82-1108-4F1D-9E8B-471080D66E71,url,b116094941,ocn556229679,OCoLC,z,-,,,left_only
66AA774B-8A00-4801-B634-A2C4E4FFD9BB,url,b116095064,ocn608497282,OCoLC,z,-,,,left_only
FFB76226-3D02-4A38-A1D6-ACCC71C34488,037,b116101672,ocn680286802,OCoLC,x,-,,,left_only
CCA86407-0745-469D-9B85-78161D5BEF86,037,b11625614x,ocn692197771,OCoLC,x,-,,,left_only
1C084DF9-6A2B-4561-88E9-588A91553EDF,037,b116256497,ocn651049650,OCoLC,x,-,,,left_only
0BA406E1-D451-43A7-8CF9-A7AE39D8BA71,037,b116256618,ocm63200811,OCoLC,x,-,,,left_only
C0FCBB96-DDCA-4BFB-A497-F46C50334FF8,037,b116257556,ocm52933247,OCoLC,x,-,,,left_only
E614331B-A4DB-4F1B-A6AD-612722C5A7FD,037,b116257568,ocm52932712,OCoLC,x,-,,,left_only
53B05C02-D424-4FE6-8DC7-69B251D2AF82,037,b116257659,ocm52892300,OCoLC,x,-,,,left_only
58901C26-D134-402F-BD11-F00A3CC99A93,037,b116257672,ocm52883582,OCoLC,x,-,,,left_only
4C0678EF-0B33-43F9-B497-53535C1C9529,037,b116257738,ocm52800825,OCoLC,x,-,,,left_only
88A2D4F4-ADFE-4105-A697-E43EF349269B,037,b116258895,ocn318355368,OCoLC,x,-,,,left_only
DC9E089E-1562-40E8-B69C-EFC411764212,037,b116260804,ocn234260538,OCoLC,x,-,,,left_only
7CE25D94-70F0-417E-856A-F351C8DCC265,037,b116260919,ocn234192288,OCoLC,x,n,,,left_only
19DEE2F4-A46A-4395-ACC7-561D542CA440,037,b116262217,ocn183884638,OCoLC,x,-,,,left_only
674898C8-7C0B-4930-B14D-C189C2CB35A1,037,b116262321,ocn176870154,OCoLC,x,-,,,left_only
B57D4866-F74A-4114-87BF-D6EB25076FBB,037,b116262497,ocn748370945,OCoLC,x,-,,,left_only
20A20BEE-0FCD-4287-9F46-EDFD192B277D,037,b116264159,ocn748370827,OCoLC,x,-,,,left_only
3AE7C1D0-B2FC-4902-AA0C-DF75A89A3E61,037,b116264469,ocn748286280,OCoLC,x,-,,,left_only
C25C20FD-06D6-4207-83E0-F6AAB99DFD87,037,b116264500,ocn748286251,OCoLC,x,-,,,left_only
4868BABD-9E32-4FAB-8618-FAD79111443F,037,b11626455x,ocn748286234,OCoLC,x,-,,,left_only
F436B5CC-9702-481F-B1F6-EA3A02D30083,037,b116264615,ocn748286197,OCoLC,x,-,,,left_only
D3110DFF-32FA-4BDD-B301-D76BC7EDE0D4,037,b116264962,ocn748285077,OCoLC,x,-,,,left_only
7E4880F5-BC77-48CA-BB4E-EB87E3C1357C,037,b116265267,ocn748282698,OCoLC,x,-,,,left_only
BA66DA43-F361-4B73-8A24-FDFA1C2D7BF9,037,b116265565,ocn748281788,OCoLC,x,-,,,left_only
2540E491-CB9C-4791-86FB-58D3CE333637,037,b116266272,ocm52934000,OCoLC,x,-,,,left_only
586341F0-4196-431B-9C9E-5026D6F4EE64,037,b116269728,ocn704939731,OCoLC,x,-,,,left_only
BFF6B42A-D041-4691-AE38-DA47089C8D40,037,b116270251,ocn651982632,OCoLC,x,-,,,left_only
30013E20-3466-4F84-A919-26BF6725C3BE,037,b116278559,ocn680277567,OCoLC,x,-,,,left_only
7482DAE1-D70A-4D93-8DBA-830135F8F87F,037,b116278584,ocn692183655,OCoLC,x,-,,,left_only
