overdriveNo,overdriveNoSrc,bibNo,sierraControlNo,sierraControlNoSrc,sierraFormat_int,sierra_status,overdriveControlNo,sierraFormat_ext,_merge
6258C88F-C294-4F52-94B6-B705622E580C,,,,,,,ODN0005185597,z,right_only
0A17AE3A-7AEC-4ECF-B8F9-8CF8DC97CD31,,,,,,,ODN0000641512,z,right_only
5C4EBB6A-1993-44E8-9277-23F130756743,,,,,,,ODN0005057351,z,right_only
A3F613B3-3055-4226-B0E4-1F3278556855,,,,,,,ODN0005116390,z,right_only
F9C06AF4-E7B4-4203-B8D2-8A54392398B2,,,,,,,ODN0000076288,z,right_only
5B23E884-8016-4155-AB46-9E6B050BA47A,,,,,,,ODN0005208882,z,right_only
C2B93379-AC02-4540-8BB7-3C3D1A33020A,,,,,,,ODN0004812682,z,right_only
8ECA5453-46D5-4D78-9837-CEE0CB023EEF,,,,,,,ODN0000077193,z,right_only
846701AD-FFBE-4C8C-A3C4-1881E3352132,,,,,,,ODN0002637515,z,right_only
6AC1EC32-2645-4290-9859-4F39E678F2CB,,,,,,,ODN0004883714,z,right_only
04E7B198-4A91-4732-94ED-4DCF4D436769,,,,,,,ODN0000075981,z,right_only
CCFD7A28-03FE-478D-8134-C91BE1F0A359,,,,,,,ODN0005286323,z,right_only
8C60C093-020C-4F41-9FE8-EBA0803185EB,,,,,,,ODN0005195492,z,right_only
2345A85D-62E4-4858-90AE-14985644E000,,,,,,,ODN0005168219,z,right_only
CDB3B3D5-8B49-4FE1-93A0-9A0048F6A46B,,,,,,,ODN0005217614,z,right_only
58C5FABE-FC25-4738-92A0-8783031C4987,,,,,,,ODN0005057398,z,right_only
4A37745A-BED4-4DAB-80C2-57552E954BC1,,,,,,,ODN0005275197,z,right_only
EF19156E-7D83-4ED7-8135-8D008819955A,,,,,,,ODN0000103311,z,right_only
525B79EE-36DF-4D0F-BE69-C71CA06554E9,,,,,,,ODN0004875751,z,right_only
17DB5414-EA69-450E-BBE4-46DACD7FB772,,,,,,,ODN0000504509,z,right_only
EF7CC6AE-813F-4983-AC19-A84C1576EE56,,,,,,,ODN0002017259,z,right_only
6C3F60FB-3857-4F87-8D26-9CD17FA7C664,,,,,,,ODN0005275198,z,right_only
C1CD1E26-57EA-4BC4-85BA-B649EAA9207B,,,,,,,ODN0005217615,z,right_only
B7B7D877-F314-4572-AA1E-24D2563D1D4E,,,,,,,ODN0005217601,z,right_only
C9435F49-A941-45B4-BB96-041D87C0D4C4,,,,,,,ODN0005286329,z,right_only
AFA708A7-39FC-44EE-9C45-527CDF17F0A9,,,,,,,ODN0005208874,z,right_only
2928B5D0-AD39-4924-A74F-13FF8547A858,,,,,,,ODN0005243389,z,right_only
5157F2E7-7521-406B-A40D-B469A64B9DBF,,,,,,,ODN0005168260,z,right_only
8EB3318F-1B8C-414B-85F1-E07AB5518AB1,,,,,,,ODN0000465460,z,right_only
9FA29087-391B-4C85-9EC8-B1B6E33DC3ED,,,,,,,ODN0005217616,z,right_only
561A5560-C89E-40A6-A3E0-AA5798467172,,,,,,,ODN0005286333,z,right_only
3F405EB6-0A39-44C6-85B3-18FCB95DF759,,,,,,,ODN0001896930,z,right_only
1EF4AF29-31B1-4B53-962C-09DED0CB2634,,,,,,,ODN0005168226,z,right_only
181ACA4C-C692-4E1C-93C6-624448885E28,,,,,,,ODN0000279235,z,right_only
F055452A-9BB9-440C-B4EE-40F6267AD412,,,,,,,ODN0005253293,z,right_only
D1F346A4-E9F0-4A94-A2DD-F10F74C3F570,,,,,,,ODN0000625440,z,right_only
8708A12C-91E4-49F2-AA40-1B0313D40A05,,,,,,,ODN0005019916,z,right_only
125DA6B8-358E-4585-96CC-9BE937B9889A,,,,,,,ODN0005208878,z,right_only
AC0C9617-8D6D-4A79-ABEA-C84DF6B95C8A,,,,,,,ODN0004789248,z,right_only
7DE80688-2CA7-4D07-8C25-96D0C7CF6DC5,,,,,,,ODN0001254264,z,right_only
1AA22062-EDC3-43AB-9E42-95BA06F8366D,,,,,,,ODN0005233424,z,right_only
B0DA056D-7AB8-4575-A35A-4FA225963E2A,,,,,,,ODN0001537579,z,right_only
B4F79398-F0DF-49B5-9F3F-1CC674E9EB2D,,,,,,,ODN0005217606,z,right_only
19482179-35F2-4591-93EE-30DC6AC98245,,,,,,,ODN0001321425,z,right_only
7A04303F-1D73-4BCC-81FE-7741BAD80AF9,,,,,,,ODN0005168255,z,right_only
DC12814B-C736-42C4-A583-97012B7DE393,,,,,,,ODN0005340975,z,right_only
382A27DE-1DC2-4D6B-A906-EFE78EFB0770,,,,,,,ODN0005068642,z,right_only
5E31C79C-C073-47B2-B9FE-D1AEA54238DA,,,,,,,ODN0000076207,z,right_only
13B851B1-4894-4820-88CC-80B60EA2EC42,,,,,,,ODN0000121472,z,right_only
0A60CF9F-A832-47E2-A10F-529CD7C2D4CF,,,,,,,ODN0004875783,z,right_only
8C154DFC-CCA1-4039-9397-73B59952623F,,,,,,,ODN0005217619,z,right_only
961BE181-817A-4005-B737-44A8939D9584,,,,,,,ODN0002105205,z,right_only
1616A5DC-2B0B-468B-8188-44E81A6ACDCA,,,,,,,ODN0001680740,z,right_only
642231D5-B25C-4A86-A4F7-C0905AB405D9,,,,,,,ODN0005154897,z,right_only
206E1E59-FDBB-43CC-9540-1E3AE860E6CD,,,,,,,ODN0005154899,z,right_only
C589345B-2EE4-4384-829D-68A8D0966394,,,,,,,ODN0001550732,z,right_only
83402DE5-75A6-41A0-BD9D-7DD8F3401544,,,,,,,ODN0005195503,z,right_only
D91DA822-C55F-4402-831D-25DCFAEF8016,,,,,,,ODN0005168227,z,right_only
6903626E-6D69-4BBB-8974-B8FE34B78C6F,,,,,,,ODN0005295989,z,right_only
2239ECE4-E78A-4554-80F9-9EA774ADC1D5,,,,,,,ODN0005091137,z,right_only
FE6F1A31-130D-4369-BA29-C1EB414C5B70,,,,,,,ODN0005131494,z,right_only
5770755D-30D6-4314-AFCA-B07B70777C9B,,,,,,,ODN0005185596,z,right_only
70626C97-1631-4A07-A3D2-42EEB82F37E6,,,,,,,ODN0005233443,z,right_only
507DE6EE-79C4-489D-AA59-D7DC8458C43A,,,,,,,ODN0005462517,z,right_only
289DD62F-3B66-4831-9934-C2914702525A,,,,,,,ODN0001286778,z,right_only
C984F618-A48A-414A-9699-5BCF4D32C8FD,,,,,,,ODN0005546995,z,right_only
5D32B485-AEAC-45AE-9CBA-B663E078D9D3,,,,,,,ODN0005154900,z,right_only
61304302-B8A5-4DAD-9C14-3B01170831F3,,,,,,,ODN0004939959,z,right_only
B31249F1-0DB8-4040-87D9-544C834D72EC,,,,,,,ODN0001303061,z,right_only
6115E1C1-3137-488C-8636-27829ECB12B2,,,,,,,ODN0005217592,z,right_only
78A384FF-5AEB-4506-A1B3-73483557F98C,,,,,,,ODN0004866875,z,right_only
8B5E9C1C-51C4-40E7-8C13-D17FA58ACC46,,,,,,,ODN0003318378,z,right_only
7C42B0BD-9900-4640-B857-E32553129D0C,,,,,,,ODN0002017262,z,right_only
672C7003-D1E9-4940-A587-0C711438E8CB,,,,,,,ODN0005102952,z,right_only
011D9439-CE38-4AD9-BC9F-E17E645E68E2,,,,,,,ODN0005286363,z,right_only
4D545BCD-D840-45A7-ACBB-F2C3DE30F3A6,,,,,,,ODN0005116401,z,right_only
1DDAA121-EBE5-4998-B008-AA8740810EC4,,,,,,,ODN0002017289,z,right_only
6BA8F38A-8A40-471B-9304-65519D6BEFCD,,,,,,,ODN0001429777,z,right_only
219BAB8F-11AE-4992-9344-48A6391E7721,,,,,,,ODN0005208885,z,right_only
FA51F788-CF92-4D84-B2B8-34BB9E768D91,,,,,,,ODN0005217626,z,right_only
4D082322-DFA9-4F4C-A418-165720411CEA,,,,,,,ODN0004950392,z,right_only
1F391E04-EBCA-4EBB-A500-827EC7582754,,,,,,,ODN0005057416,z,right_only
4C3561C2-53A3-4CA8-8C68-2AB7467A341B,,,,,,,ODN0005185578,z,right_only
00A3F145-40D0-4D36-A233-7DE0FA10F786,,,,,,,ODN0005131485,z,right_only
5AE593B6-6FF0-49BA-B070-4C9E79190099,,,,,,,ODN0005275184,z,right_only
BCBACA6A-EF58-41CF-A4EF-46F96246DBCD,,,,,,,ODN0005154882,z,right_only
0A1BB0D4-6246-4A05-9E98-AA13744A2781,,,,,,,ODN0005131476,z,right_only
F4167427-3438-4281-BC58-9680EB6D888E,,,,,,,ODN0005233421,z,right_only
BAF84544-0C14-4B66-9DD1-30C7853B51FD,,,,,,,ODN0005154888,z,right_only
2370DDC3-DAC3-4124-B080-178107DD89CF,,,,,,,ODN0005131484,z,right_only
379C7BBB-D4DF-4C11-A5F6-2228E7524416,,,,,,,ODN0005032411,z,right_only
C4DE1269-B849-49F4-A1E4-BCFC9444A212,,,,,,,ODN0002422763,z,right_only
B8909201-82ED-469F-8371-5D0AAA679F4D,,,,,,,ODN0003390725,z,right_only
F8D80AD6-E823-4F27-B554-3D86EEDFC5E5,,,,,,,ODN0005168201,z,right_only
EE821CCC-8399-4217-9E5F-3A16B586B600,,,,,,,ODN0001348835,z,right_only
F9B1A2F6-6DBB-407B-BCFA-E3C2F89E9204,,,,,,,ODN0000674383,z,right_only
B1ADD114-C9B8-442F-8CB0-770287192224,,,,,,,ODN0000503988,z,right_only
D28BACDE-4F9B-4B98-9F1D-212BD56616CC,,,,,,,ODN0000566682,z,right_only
5DA8C6F9-F45F-4627-8974-653E2FEEA2FB,,,,,,,ODN0000563409,z,right_only
9F2C3DB2-3297-4194-9C05-440677CD2037,,,,,,,ODN0005243379,z,right_only
